question,label
배재대 P관 어디야,S-LOCATION S-PLACE O
배재대 P관 위치가 어디야,S-LOCATION S-PLACE O O
배재대 P관 어디 있니,S-LOCATION S-PLACE O O
배재대 P관 어디 있냐,S-LOCATION S-PLACE O O
배재대 P관 알려주라,S-LOCATION S-PLACE O
배재대 P관 알려줘,S-LOCATION S-PLACE O
배재대 P관 알려주세요,S-LOCATION S-PLACE O
배재대 P관 위치 알고 싶어,S-LOCATION S-PLACE O O O
배재대 P관 알려줄래요,S-LOCATION S-PLACE O
배재대 P관 어디지,S-LOCATION S-PLACE O
배재대 P관 어디,S-LOCATION S-PLACE O
배재대 P관 궁금해,S-LOCATION S-PLACE O
배재대 P관 위치 알려주겠니,S-LOCATION S-PLACE O O
배재대 P관 위치좀 ㅋㅋ,S-LOCATION S-PLACE O O
배재대 P관 위치좀,S-LOCATION S-PLACE O
배재대 P관 어디,S-LOCATION S-PLACE O
배재대 P관 ㅇㄷ,S-LOCATION S-PLACE O
배재대 21세기관,S-LOCATION S-PLACE
배재대 21세기관 어디야,S-LOCATION S-PLACE O
배재대 21세기관 어디 있니,S-LOCATION S-PLACE O O
배재대 21세기관 어디 있냐,S-LOCATION S-PLACE O O
배재대 21세기관 알려주라,S-LOCATION S-PLACE O
배재대 21세기관 알려줘,S-LOCATION S-PLACE O
배재대 21세기관 알려주세요,S-LOCATION S-PLACE O
배재대 21세기관 위치 알고 싶어,S-LOCATION S-PLACE O O O
배재대 21세기관 알려줄래요,S-LOCATION S-PLACE O
배재대 21세기관 어디지,S-LOCATION S-PLACEO
배재대 21세기관 어디,S-LOCATION S-PLACE O
배재대 21세기관 궁금해,S-LOCATION S-PLACE O
배재대 21세기관 위치 알려주겠니,S-LOCATION S-PLACE O O
배재대 21세기관 위치좀 ㅋㅋ,S-LOCATION S-PLACE O O
배재대 21세기관 위치좀,S-LOCATION S-PLACEO
배재대 21세기관 어디,S-LOCATION S-PLACE O
배재대 21세기관 ㅇㄷ,S-LOCATION S-PLACE O
배재대 정문,S-LOCATION S-PLACE
배재대 정문이 어디야,S-LOCATION S-PLACE O
배재대 정문 어디 있니,S-LOCATION S-PLACE O O
배재대 정문 어디 있냐,S-LOCATION S-PLACE O O
배재대 정문 알려주라,S-LOCATION S-PLACE O
배재대 정문 알려줘,S-LOCATION S-PLACE O
배재대 정문 알려주세요,S-LOCATION S-PLACE O
배재대 정문 위치 알고 싶어,S-LOCATION S-PLACE O O O
배재대 정문 알려줄래요,S-LOCATION S-PLACE O
배재대 정문이 어디지,S-LOCATION S-PLACE O
배재대 정문이 어디,S-LOCATION S-PLACE O
배재대 정문이 궁금해,S-LOCATION S-PLACE O
